WO,Cargo Source,Bound,Commodity,Mode,Term,From,To,FCL_Tues,Air_Kg,LCL_Cbm,PP_CC,Profit
VOL18060507,Nomination,Outbound,Fak,FCL,EXW,Ho Chi Minh (Vietnam),Hamburg (Germany),1,,,CC,183.10
VOL18090032,Free Hand,Inbound,Paper Product,LCL,DDU,Busan (South Korea),Ho Chi Minh (Vietnam),,,5.05,PP,182.97
VOL18090416 ,Nomination,Inbound,Chemicals (Non-Hazardous),Air,FOB,Shanghai (China),Ho Chi Minh (Vietnam),,45.00,,CC,182.71
VOL18050474,Nomination,Inbound,Premix Vitamin,LCL,DDP,Surabaya (Indonesia),Ho Chi Minh (Vietnam),,,2.64,CC,182.05
VOL18060563,Nomination,Outbound,Decal,Air,EXW,Ho Chi Minh (Vietnam),New Delhi (India),,321.00,,PP,182.02
VOL18070416,Nomination,Outbound,Leather,Air,EXW,Ho Chi Minh (Vietnam),New Delhi (India),,149.00,,PP,181.46
VOL18060043,Free Hand,Inbound,Sporting Goods; Parts & Acessories,FCL,DDU,Xiamen (China),Ho Chi Minh (Vietnam),2,,,PP,181.31
VOL18010563,Nomination,Outbound,Fabrics & Yarns,Air,FOB,Ho Chi Minh (Vietnam),"New York, NY (USA)",,230.00,,PP,179.12
VOL18090379,Free Hand,Inbound,Sporting Goods; Parts & Acessories,FCL,DDU,Xiamen (China),Ho Chi Minh (Vietnam),2,,,PP,178.57
VOL18040600,Free Hand,Inbound,Sporting Goods; Parts & Acessories,FCL,DDU,Xiamen (China),Ho Chi Minh (Vietnam),1,,,PP,178.27
VOL18110256 ,Free Hand,Outbound,Garment/Textile,Air,FOB,Ha Noi (Vietnam),Inchon (South Korea),,209.00,,PP,177.32
VOL18020524,Free Hand,Inbound,Paper Product,LCL,DDU,Busan (South Korea),Ho Chi Minh (Vietnam),,,3.75,PP,177.25
VOL18070459,Nomination,Inbound,Construction Material,FCL,DDU,Tianjin  (China),Sihanoukville (Cambodia),1,,,PP,176.95
VOL18050261,Free Hand,Inbound,Sporting Goods; Parts & Acessories,FCL,DDU,Xiamen (China),Ho Chi Minh (Vietnam),2,,,PP,176.31
VOL18070133,Nomination,Outbound,Fak,FCL,EXW,Ho Chi Minh (Vietnam),Hamburg (Germany),2,,,CC,176.30
VOL18100075,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),2,,,PP,176.00
VOL18110183 ,Free Hand,Inbound,Plastic Goods,LCL,CIF/CNF,Shenzhen (China),Ho Chi Minh (Vietnam),,,4.53,PP,175.34
VOL18060018,Nomination,Outbound,Fabrics & Yarns,FCL,FOB,Hai Phong (Vietnam),Yantian (China),2,,,PP,175.05
VOL18110006,Nomination,Outbound,Foodstuffs,FCL,FOB,Ho Chi Minh (Vietnam),Rotterdam (Netherlands),2,,,PP,175.00
VOL18080514,Free Hand,Inbound,Sporting Goods; Parts & Acessories,FCL,DDU,Ningbo (China),Ho Chi Minh (Vietnam),2,,,PP,173.55
VOL18070122,Free Hand,Inbound,Sporting Goods; Parts & Acessories,FCL,DDU,Xiamen (China),Ho Chi Minh (Vietnam),2,,,PP,170.85
VOL18080512,Free Hand,Inbound,Sporting Goods; Parts & Acessories,FCL,DDU,Xiamen (China),Ho Chi Minh (Vietnam),2,,,PP,170.85
VOL18060544,Nomination,Inbound,Electrical Equipment,Air,DAP,"Atlanta, GA (USA)",Ho Chi Minh (Vietnam),,245.00,,PP,170.35
VOL18010668,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),"Long Beach, CA (USA)",2,,,PP,170.00
VOL18090279,Nomination,Outbound,Plastic Goods,FCL,EXW,Ho Chi Minh (Vietnam),Yantai (China),2,,,PP,169.16
VOL18040133,Nomination,Inbound,Fabrics & Yarns,FCL,DDU,Xiamen (China),Ho Chi Minh (Vietnam),2,,,PP,168.70
VOL18110416 ,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Belawan (Indonesia),2,,,PP,168.20
VOL18050546,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Hamburg (Germany),1,,,CC,167.80
VOL18110414,Nomination,Inbound,Electrical Equipment,FCL,DDU,Shekou (China),Ho Chi Minh (Vietnam),1,,,CC,146.21
VOL18080080,Free Hand,Inbound,Paper Product,LCL,DDU,Busan (South Korea),Ho Chi Minh (Vietnam),,,2.18,CC,167.14
VOL18040196,Nomination,Outbound,Bathroom Accessories,FCL,EXW,Ho Chi Minh (Vietnam),Icd Tughlakabad (India),2,,,PP,166.00
VOL18100462 ,Nomination,Inbound,Paper Product,LCL,DDP,Barcelona (Spain),Ho Chi Minh (Vietnam),,,1.06,PP,166.00
VOL18100051 ,Nomination,Outbound,Auto Parts,FCL,EXW,Jakarta (Indonesia),Ho Chi Minh (Vietnam),1,,,PP,165.38
VOL18080457,Nomination,Inbound,Fabrics & Yarns,FCL,DDU,Xiamen (China),Sihanoukville (Cambodia),2,,,PP,165.10
VOL18030254,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Jakarta (Indonesia),1,,,PP,165.00
VOL18020520,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Jakarta (Indonesia),1,,,PP,165.00
VOL18010132+VOL18010241,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Surabaya (Indonesia),2,,,CC,165.00
VOL18050531,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Semarang (Indonesia),2,,,PP,165.00
VOL18110009 ,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Novorossiysk (Russia),1,,,PP,165.00
VOL18110005,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Hai Phong (Vietnam),Shanghai (China),,,3.38,PP,164.55
VOL18070232,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Jakarta (Indonesia),2,,,PP,164.00
VOL18040545,Nomination,Outbound,Fabrics & Yarns,Air,FOB,Ho Chi Minh (Vietnam),Cairo (Egypt),,157.00,,PP,163.90
VOL18090158,Nomination,Outbound,Plastic Goods,FCL,EXW,Ho Chi Minh (Vietnam),Hamburg (Germany),2,,,CC,163.30
VOL18050506,Free Hand,Inbound,Machinery,FCL,DDU,Xiamen (China),Ho Chi Minh (Vietnam),2,,,PP,162.68
VOL18030216 + VOL18030530,Free Hand,Inbound,Sporting Goods; Parts & Acessories,FCL,DDU,Xiamen (China),Ho Chi Minh (Vietnam),2,,,PP,162.67
VOL18070444,Nomination,Outbound,Furniture,FCL,EXW,Ho Chi Minh (Vietnam),"Long Beach, CA (USA)",2,,,PP,161.63
VOL18090512,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Ho Chi Minh (Vietnam),Port Said (Egypt),,,5.70,CC,161.20
VOL18010528,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Shekou (China),4,,,PP,160.90
VOL18080076,Free Hand,Outbound,Fabrics & Yarns,LCL,CIF/CNF,Hai Phong (Vietnam),Chittagong (Bangladesh),,,5.01,PP,160.21
VOL18040407,Nomination,Inbound,Fak,Air,DDU,Kuala Lumpur (Airport) (Malaysia),Ho Chi Minh (Vietnam),,10.00,,PP,160.10
VOL18020351,Nomination,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),Colombo (Sri Lanka),4,,,PP,160.00
VOL18010407,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Semarang (Indonesia),1,,,PP,160.00
VOL18080361,Nomination,Outbound,Plastic Goods,FCL,EXW,Ho Chi Minh (Vietnam),Hamburg (Germany),2,,,CC,158.80
VOL18060366,Nomination,Outbound,Fak,FCL,EXW,Ho Chi Minh (Vietnam),Hamburg (Germany),1,,,CC,158.50
VOL18040403,Free Hand,Inbound,Sporting Goods; Parts & Acessories,FCL,DDU,Xiamen (China),Ho Chi Minh (Vietnam),2,,,PP,158.13
VOL18110308 ,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Fos Sur Mer (France),4,,,CC,157.60
VOL18050143,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Dammam (Saudi Arabia),1,,,PP,157.39
VOL18040119,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Dammam (Saudi Arabia),1,,,PP,157.39
VOL18040121,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Dammam (Saudi Arabia),1,,,PP,157.39
VOL18090071,Free Hand,Inbound,Paper Product,Air,Inland,Inchon (South Korea),Ho Chi Minh (Vietnam),,344.00,,PP,157.30
VOL18090300,Nomination,Outbound,Plastic Goods,FCL,EXW,Ho Chi Minh (Vietnam),Hamburg (Germany),1,,,CC,157.30
VOL18090505,Nomination,Inbound,Fabrics & Yarns,Air,DAP,London (UK),Ho Chi Minh (Vietnam),,75.00,,PP,157.00
VOL18040568,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Dammam (Saudi Arabia),2,,,PP,156.93
VOL18070502,Free Hand,Inbound,Plastic Goods,Air,CIF/CNF,Xiamen (China),Ho Chi Minh (Vietnam),,68.00,,PP,156.91
VOL18080544,Free Hand,Inbound,Auto Parts,LCL,DDU,Dalian (China),Hai Phong (Vietnam),,,7.00,PP,155.84
VOL18030464,Nomination,Outbound,Fak,FCL,EXW,Hai Phong (Vietnam),Shanghai (China),1,,,PP,155.30
VOL18030734,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Surabaya (Indonesia),1,,,PP,155.00
VOL18030683,Nomination,Outbound,Construction Material,Air,FOB,Ho Chi Minh (Vietnam),Mumbai (India),,300.00,,PP,155.00
VOL18040309,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Hamburg (Germany),2,,,CC,154.80
VOL18010368,Nomination,Outbound,Fabrics & Yarns,Air,FOB,Ha Noi (Vietnam),"Boston, MA (USA)",,221.00,,PP,154.70
VOL18050071,Free Hand,Inbound,Paper Product,LCL,DDU,Busan (South Korea),Ho Chi Minh (Vietnam),,,3.19,PP,154.62
VOL18090523 ,Nomination,Outbound,Garment/Textile,Air,FOB,Ho Chi Minh (Vietnam),"Los Angeles, CA (USA)",,1269.00,,PP,154.53
VOL18040192,Nomination,Outbound,Fak,LCL,EXW,Ho Chi Minh (Vietnam),Singapore (Singapore),,,1.30,CC,154.50
VOL18070399,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Port Klang (Malaysia),4,,,PP,154.00
VOL18050459,Free Hand,Inbound,Paper Product,LCL,DDU,Busan (South Korea),Ho Chi Minh (Vietnam),,,2.95,PP,153.80
VOL18090506,Nomination,Outbound,Garment/Textile,FCL,FOB,Ho Chi Minh (Vietnam),Shanghai (China),2,,,PP,153.73
VOL18100399,Nomination,Outbound,Furniture,LCL,FOB,Hai Phong (Vietnam),"Los Angeles, CA (USA)",,,3.28,PP,153.12
VOL18010722,Nomination,Outbound,Fabrics & Yarns,Air,FOB,Ha Noi (Vietnam),"Boston, MA (USA)",,153.00,,PP,153.00
VOL18110279 ,Nomination,Outbound,Fashion Accessories,Air,FOB,Ho Chi Minh (Vietnam),Bangalore (India),,564.00,,PP,188.44
VOL18050443,Nomination,Outbound,Fashion Accessories,Air,FOB,Ho Chi Minh (Vietnam),Lyon (France),,100.00,,PP,152.19
VOL18110084 ,Free Hand,Outbound,Frozen Seafood,FCL,DDU,Ho Chi Minh (Vietnam),Port Klang (Malaysia),2,,,PP,154.05
VOL18060406,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Port Klang (Malaysia),1,,,PP,152.17
VOL18070417,Nomination,Outbound,Fak,FCL,EXW,Ho Chi Minh (Vietnam),Hamburg (Germany),2,,,CC,151.40
VOL18070455,Nomination,Outbound,Fabrics & Yarns,FCL,FOB,Ho Chi Minh (Vietnam),Rotterdam (Netherlands),2,,,PP,151.37
VOL18050115,Nomination,Outbound,Bathroom Accessories,FCL,EXW,Ho Chi Minh (Vietnam),Nhava Sheva (India),2,,,PP,150.91
VOL18090368,Nomination,Inbound,Fabrics & Yarns,FCL,DDU,Xiamen (China),Phnom Penh (Cambodia),2,,,PP,150.05
VOL18010280,Nomination,Outbound,Fabrics & Yarns,FCL,FOB,Ho Chi Minh (Vietnam),"Los Angeles, CA (USA)",4,,,CC,150.00
VOL18010557,Nomination,Outbound,Fabrics & Yarns,FCL,FOB,Hai Phong (Vietnam),Yantian (China),1,,,PP,150.00
VOL18020093,Nomination,Outbound,Fabrics & Yarns,FCL,FOB,Hai Phong (Vietnam),Yantian (China),1,,,PP,150.00
VOL18090163,Free Hand,Inbound,Silica,FCL,DDU,Tianjin  (China),Da Nang (Vietnam),2,,,PP,149.70
VOL18080098,Free Hand,Inbound,Machinery,FCL,DDU,Xiamen (China),Hai Phong (Vietnam),2,,,PP,149.18
VOL18060529,Free Hand,Inbound,Ceramics & Stoneware,LCL,Inland,Shenzhen (China),Ho Chi Minh (Vietnam),,,6.99,PP,148.91
VOL18010209,Nomination,Inbound,Electrical Equipment,Air,DDU,"Atlanta, GA (USA)",Ho Chi Minh (Vietnam),,275.00,,CC,148.65
VOL18080105,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Jakarta (Indonesia),1,,,PP,148.00
VOL18010146,Nomination,Outbound,Furniture,LCL,FOB,Ho Chi Minh (Vietnam),"Long Beach, CA (USA)",,,9.20,PP,147.20
VOL18040342,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),"Kansas City, MO (USA)",,,1.60,PP,147.00
VOL18050400,Nomination,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),General Santos (Philippines),1,,,PP,147.00
VOL18110159,Nomination,Outbound,Woodenware,FCL,FOB,Ho Chi Minh (Vietnam),Shimizu (Japan),2,,,PP,146.38
VOL18010004 + VOL18010089,Nomination,Outbound,Garment/Textile,Air,EXW,Ho Chi Minh (Vietnam),Shanghai (China),,117.50,,PP,145.72
VOL18070481,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Surabaya (Indonesia),2,,,PP,145.70
VOL18070378,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Surabaya (Indonesia),2,,,PP,145.70
VOL18060115,Nomination,Outbound,Construction Material,LCL,EXW,Ho Chi Minh (Vietnam),Beirut (Lebanon),,,1.50,CC,145.20
VOL18100538 ,Nomination,Outbound,Furniture,LCL,FOB,Ho Chi Minh (Vietnam),Bangkok (Thailand),,,3.00,PP,145.19
VOL18080055,Nomination,Inbound,Fabrics & Yarns,FCL,FOB,Xiamen (China),Sihanoukville (Cambodia),4,,,PP,145.10
VOL18030644,Nomination,Outbound,Fak,Air,EXW,Ho Chi Minh (Vietnam),New Delhi (India),,167.00,,PP,145.00
VOL18010073,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Port Klang (Malaysia),4,,,PP,145.00
VOL18080391,Free Hand,Outbound,Garment/Textile,Air,FOB,Ha Noi (Vietnam),Inchon (South Korea),,366.50,,PP,143.15
VOL18030014,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Mundra (India),4,,,PP,142.00
VOL18020527,Nomination,Outbound,Fak,FCL,EXW,Ho Chi Minh (Vietnam),"New York, NY (USA)",1,,,PP,142.00
VOL18080001,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Ho Chi Minh (Vietnam),Shanghai (China),,,1.15,PP,141.93
VOL18110236 ,Nomination,Outbound,Electrical Equipment,FCL,FOB,Hai Phong (Vietnam),Chittagong (Bangladesh),4,,,PP,141.90
VOL18110467,Nomination,Outbound,Electrical Equipment,FCL,FOB,Hai Phong (Vietnam),Chittagong (Bangladesh),4,,,PP,142.66
"VOL18020113",Nomination,Outbound,Fak,Air,FOB,Ho Chi Minh (Vietnam),London (UK),,193.00,,PP,141.85
VOL18030049 + VOL18030118 ,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Shekou (China),3,,,PP,140.90
VOL17080429,Free Hand,Inbound,Fak,LCL,DDP,Bangkok (Thailand),Hai Phong (Vietnam),,,6.49,PP,140.60
VOL18060340,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Surabaya (Indonesia),1,,,PP,140.00
VOL18090366,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Jakarta (Indonesia),2,,,PP,139.70
VOL18080262,Free Hand,Outbound,Garment/Textile,Air,FOB,Ha Noi (Vietnam),Inchon (South Korea),,355.50,,PP,139.32
VOL18080590,Free Hand,Inbound,Plastic Goods,LCL,DDU,Hong Kong (Hong Kong),Hai Phong (Vietnam),,,2.56,CC,138.86
VOL18090348,Nomination,Outbound,Ceramics & Stoneware,FCL,FOB,Ho Chi Minh (Vietnam),Singapore (Singapore),1,,,PP,138.70
VOL18110018 ,Nomination,Outbound,Plastic Goods,FCL,EXW,Ho Chi Minh (Vietnam),Hamburg (Germany),1,,,CC,138.60
VOL18070306,Nomination,Outbound,Electrical Equipment,Air,EXW,Ho Chi Minh (Vietnam),Guangzhou (China),,64.00,,PP,138.46
VOL18100055 ,Nomination,Outbound,Garment/Textile,Air,EXW,Ha Noi (Vietnam),Beijing (China),,89.50,,PP,138.46
VOL18060086,Free Hand,Inbound,Fak,LCL,DDU,Xin Gang (China),Ho Chi Minh (Vietnam),,,2.40,PP,138.34
VOL18050158,Free Hand,Inbound,Plastic Goods,Air,Inland,Hong Kong (Hong Kong),Ho Chi Minh (Vietnam),,5.20,,PP,137.70
VOL18060578,Nomination,Outbound,Electrical Equipment,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),1,,,PP,137.18
VOL18030260,Nomination,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),Chittagong (Bangladesh),1,,,PP,137.00
VOL18030513,Nomination,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),Chittagong (Bangladesh),1,,,PP,137.00
VOL18030262,Nomination,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),Chittagong (Bangladesh),1,,,PP,137.00
VOL18080449,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Belawan (Indonesia),2,,,PP,136.70
VOL18090318,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Belawan (Indonesia),2,,,PP,136.70
VOL18100157,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Belawan (Indonesia),2,,,PP,136.70
VOL18110181 ,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Belawan (Indonesia),2,,,PP,136.70
VOL18100105 ,Nomination,Outbound,Furniture,LCL,FOB,Ho Chi Minh (Vietnam),Bangkok (Thailand),,,1.70,PP,136.57
VOL18060242,Nomination,Inbound,Fak,Air,DDU,Shenzhen (China),Ho Chi Minh (Vietnam),,302.00,,PP,136.22
VOL18100231,Nomination,Outbound,Construction Material,FCL,EXW,Ho Chi Minh (Vietnam),"New York, NY (USA)",1,,,PP,135.50
VOL18010759,Free Hand,Inbound,Sporting Goods; Parts & Acessories,LCL,DDU,Ningbo (China),Ho Chi Minh (Vietnam),,,5.40,PP,135.42
VOL18110396 ,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Hai Phong (Vietnam),Shanghai (China),,,2.76,PP,135.10
VOL18020123,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Fos Sur Mer (France),6,,,CC,135.00
VOL18010772,Free Hand,Outbound,Electrical Equipment,FCL,FOB,Hai Phong (Vietnam),Hamburg (Germany),4,,,PP,135.00
VOL18060551,Nomination,Outbound,Tire & Tubes,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),4,,,CC,135.00
VOL18050479,Nomination,Outbound,Tire & Tubes,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),4,,,CC,135.00
VOL18060503,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),4,,,CC,135.00
VOL18080572,Free Hand,Inbound,Plastic Goods,LCL,DDU,Hong Kong (Hong Kong),Hai Phong (Vietnam),,,3.88,CC,134.11
VOL18040155,Nomination,Outbound,Fak,FCL,EXW,Ho Chi Minh (Vietnam),Icd Tughlakabad (India),1,,,PP,133.50
VOL18070374,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Bangkok (Thailand),1,,,PP,133.00
VOL18060431,Free Hand,Inbound,Foodstuffs,FCL,DDU,Shanghai (China),Sihanoukville (Cambodia),1,,,PP,132.80
VOL18010759 + VOL18020152+ VOL18020559,Free Hand,Inbound,Machinery,LCL,DDU,Ningbo (China),Ho Chi Minh (Vietnam),,,5.40,PP,132.71
VOL18070167,Nomination,Outbound,Fak,FCL,EXW,Ho Chi Minh (Vietnam),"New York, NY (USA)",1,,,CC,132.50
VOL18040070,Nomination,Outbound,Garment/Textile,Air,EXW,Ho Chi Minh (Vietnam),Shanghai (China),,58.00,,PP,132.47
VOL18030767,Nomination,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),General Santos (Philippines),1,,,PP,132.00
VOL18010800 + VOL18020332,Free Hand,Inbound,Paper Product,LCL,DDU,Busan (South Korea),Ho Chi Minh (Vietnam),,,4.36,PP,131.05
VOL18010139,Nomination,Outbound,Fabrics & Yarns,FCL,FOB,Ho Chi Minh (Vietnam),"Omaha, NE (USA)",6,,,CC,131.00
VOL18090228,Nomination,Outbound,Decal,Air,EXW,Ho Chi Minh (Vietnam),New Delhi (India),,64.00,,PP,130.99
VOL18010127,Free Hand,Inbound,Construction Material,LCL,FOB,Shenzhen (China),Ho Chi Minh (Vietnam),,,3.74,PP,130.90
VOL18100187,Nomination,Outbound,Foodstuffs,FCL,FOB,Hai Phong (Vietnam),Rotterdam (Netherlands),1,,,PP,130.88
VOL18090262,Nomination,Outbound,Tire & Tubes,FCL,FOB,Ho Chi Minh (Vietnam),Chittagong (Bangladesh),1,,,PP,130.60
VOL18030350,Nomination,Inbound,Optical Inspection Equipment,Air,DDU,London (UK),Ho Chi Minh (Vietnam),,100.00,,CC,130.52
VOL18030746,Nomination,Outbound,Fabrics & Yarns,Air,EXW,Ho Chi Minh (Vietnam),Xiamen (China),,100.00,,PP,130.16
VOL18040123,Nomination,Outbound,Ceramics & Stoneware,FCL,FOB,Ho Chi Minh (Vietnam),Jebel Ali (UAE),4,,,PP,130.00
VOL18060469,Nomination,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),Nhava Sheva (India),2,,,PP,130.00
VOL18060395,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Nhava Sheva (India),1,,,PP,130.00
VOL18020576,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),"Denver, CO (USA)",,,19.75,CC,129.68
VOL18050455,Free Hand,Inbound,Lubricant,Air,DAP,Kyiv (Ukraine),Ho Chi Minh (Vietnam),,588.00,,PP,128.64
VOL18060591,Free Hand,Inbound,Paper Product,LCL,DDU,Busan (South Korea),Ho Chi Minh (Vietnam),,,3.99,PP,128.02
VOL18070230,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),2,,,PP,128.00
VOL18070410,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),2,,,PP,128.00
VOL18040474,Free Hand,Inbound,Sporting Goods; Parts & Acessories,FCL,DDU,Ningbo (China),Ho Chi Minh (Vietnam),1,,,PP,127.27
VOL18020110,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Ho Chi Minh (Vietnam),"New York, NY (USA)",,,40.43,PP,127.00
VOL18100148 ,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),2,,,PP,127.00
VOL18110293,Nomination,Outbound,Rubber,LCL,FOB,Ho Chi Minh (Vietnam),Melbourne (Australia),,,1.00,PP,102.00
VOL18030037 + VOL18030744,Nomination,Outbound,Foodstuffs,LCL,FOB,Ho Chi Minh (Vietnam),Bangkok (Thailand),,,4.00,PP,126.65
VOL18090050,Nomination,Outbound,Woodenware,FCL,FOB,Ho Chi Minh (Vietnam),Shimizu (Japan),2,,,PP,126.38
VOL18040594,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),"Long Beach, CA (USA)",2,,,PP,126.00
VOL18070263,Nomination,Outbound,Cashew Nuts,FCL,FOB,Ho Chi Minh (Vietnam),Bandar Seri Begawan (Brunei Darussalam),1,,,PP,126.00
VOL18090477,Nomination,Outbound,Electrical Equipment,FCL,FOB,Ho Chi Minh (Vietnam),Icd Dadri (India),1,,,PP,126.00
VOL18100484,Nomination,Outbound,Paper Product,FCL,FOB,Ho Chi Minh (Vietnam),"Los Angeles, CA (USA)",4,,,PP,125.90
VOL18090466,Nomination,Inbound,Fabrics & Yarns,FCL,DDU,Xiamen (China),Sihanoukville (Cambodia),2,,,PP,125.05
VOL18020495,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Belawan (Indonesia),1,,,PP,125.00
VOL18060287,Nomination,Outbound,Touch Fasterner Tape,FCL,FOB,Ho Chi Minh (Vietnam),Fremantle (Australia),1,,,PP,125.00
VOL18050233,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Surabaya (Indonesia),3,,,PP,125.00
VOL18040108,Nomination,Outbound,Fak,Air,FOB,Ho Chi Minh (Vietnam),Xiamen (China),,100.00,,PP,124.00
VOL18040465,Nomination,Outbound,Fak,Air,EXW,Ho Chi Minh (Vietnam),New Delhi (India),,171.00,,PP,123.54
VOL18110384,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),"New York, NY (USA)",2,,,PP,85.50
VOL18100403,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Da Nang (Vietnam),Shanghai (China),,,3.62,PP,123.33
VOL18050231,Free Hand,Inbound,Fak,LCL,CIF/CNF,Shunde (China),Hai Phong (Vietnam),,,7.72,PP,122.64
VOL18030088,Nomination,Outbound,Ceramics & Stoneware,Air,FOB,Ho Chi Minh (Vietnam),Mumbai (India),,154.00,,PP,121.68
VOL18080062,Free Hand,Inbound,PVC Edge Banding,LCL,CIF/CNF,Shenzhen (China),Ho Chi Minh (Vietnam),,,3.18,PP,121.57
VOL18090514 ,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Ho Chi Minh (Vietnam),Port Said (Egypt),,,3.20,CC,121.20
VOL18060602,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Jebel Ali (UAE),2,,,PP,121.00
VOL18010673,Nomination,Outbound,Fak,Air,FOB,Ho Chi Minh (Vietnam),Manchester (UK),,217.00,,PP,120.95
VOL18080195,Nomination,Inbound,Furniture,LCL,DDU,Shenzhen (China),Sihanoukville (Cambodia),,,2.25,PP,120.40
VOL18080324,Free Hand,Outbound,Marble,FCL,FOB,Hai Phong (Vietnam),Bangkok (Thailand),1,,,PP,120.18
VOL18090507,Nomination,Outbound,Garment/Textile,FCL,FOB,Ho Chi Minh (Vietnam),Shanghai (China),2,,,PP,120.00
